,0
Activité_311_1H,28.0
Arrêts_311_1H,0.0
Fautes_311_1H,0.0
Passes_311_1H,0.0
Tirs_311_1H,1.0
Activité_311_2H,20.0
Arrêts_311_2H,0.0
Fautes_311_2H,0.0
Passes_311_2H,0.0
Tirs_311_2H,1.0
Activité_1314_1H,33.0
Arrêts_1314_1H,0.0
Fautes_1314_1H,0.0
Passes_1314_1H,1.0
Tirs_1314_1H,0.0
Activité_1314_2H,29.0
Arrêts_1314_2H,0.0
Fautes_1314_2H,0.0
Passes_1314_2H,0.0
Tirs_1314_2H,0.0
Activité_389_1H,21.0
Arrêts_389_1H,0.0
Fautes_389_1H,0.0
Passes_389_1H,0.0
Tirs_389_1H,0.0
Activité_389_2H,10.0
Arrêts_389_2H,0.0
Fautes_389_2H,0.0
Passes_389_2H,1.0
Tirs_389_2H,0.0
Activité_403_1H,27.0
Arrêts_403_1H,0.0
Fautes_403_1H,0.0
Passes_403_1H,0.0
Tirs_403_1H,0.0
Activité_403_2H,20.0
Arrêts_403_2H,0.0
Fautes_403_2H,0.0
Passes_403_2H,0.0
Tirs_403_2H,0.0
Activité_216_1H,20.0
Arrêts_216_1H,0.0
Fautes_216_1H,0.0
Passes_216_1H,0.0
Tirs_216_1H,0.0
Activité_216_2H,17.0
Arrêts_216_2H,0.0
Fautes_216_2H,0.0
Passes_216_2H,0.0
Tirs_216_2H,0.0
Activité_257_1H,33.0
Arrêts_257_1H,0.0
Fautes_257_1H,1.0
Passes_257_1H,0.0
Tirs_257_1H,0.0
Activité_257_2H,21.0
Arrêts_257_2H,0.0
Fautes_257_2H,0.0
Passes_257_2H,0.0
Tirs_257_2H,0.0
Activité_1242_1H,27.0
Arrêts_1242_1H,0.0
Fautes_1242_1H,1.0
Passes_1242_1H,0.0
Tirs_1242_1H,0.0
Activité_1242_2H,12.0
Arrêts_1242_2H,0.0
Fautes_1242_2H,1.0
Passes_1242_2H,0.0
Tirs_1242_2H,0.0
Activité_1460_1H,26.0
Arrêts_1460_1H,0.0
Fautes_1460_1H,0.0
Passes_1460_1H,1.0
Tirs_1460_1H,1.0
Activité_1460_2H,24.0
Arrêts_1460_2H,0.0
Fautes_1460_2H,0.0
Passes_1460_2H,0.0
Tirs_1460_2H,0.0
Activité_71_1H,24.0
Arrêts_71_1H,0.0
Fautes_71_1H,0.0
Passes_71_1H,0.0
Tirs_71_1H,0.0
Activité_71_2H,34.0
Arrêts_71_2H,0.0
Fautes_71_2H,0.0
Passes_71_2H,0.0
Tirs_71_2H,0.0
Activité_2162_1H,50.0
Arrêts_2162_1H,0.0
Fautes_2162_1H,0.0
Passes_2162_1H,0.0
Tirs_2162_1H,0.0
Activité_2162_2H,34.0
Arrêts_2162_2H,0.0
Fautes_2162_2H,0.0
Passes_2162_2H,0.0
Tirs_2162_2H,0.0
Activité_3234_1H,32.0
Arrêts_3234_1H,0.0
Fautes_3234_1H,0.0
Passes_3234_1H,0.0
Tirs_3234_1H,0.0
Activité_3234_2H,45.0
Arrêts_3234_2H,0.0
Fautes_3234_2H,0.0
Passes_3234_2H,0.0
Tirs_3234_2H,0.0
Activité_161_1H,15.0
Arrêts_161_1H,0.0
Fautes_161_1H,0.0
Passes_161_1H,0.0
Tirs_161_1H,0.0
Activité_161_2H,21.0
Arrêts_161_2H,0.0
Fautes_161_2H,0.0
Passes_161_2H,0.0
Tirs_161_2H,0.0
Activité_1839_1H,12.0
Arrêts_1839_1H,0.0
Fautes_1839_1H,0.0
Passes_1839_1H,0.0
Tirs_1839_1H,0.0
Activité_1839_2H,9.0
Arrêts_1839_2H,0.0
Fautes_1839_2H,0.0
Passes_1839_2H,0.0
Tirs_1839_2H,0.0
Activité_442_1H,26.0
Arrêts_442_1H,0.0
Fautes_442_1H,0.0
Passes_442_1H,0.0
Tirs_442_1H,0.0
Activité_442_2H,28.0
Arrêts_442_2H,0.0
Fautes_442_2H,0.0
Passes_442_2H,0.0
Tirs_442_2H,0.0
Activité_282_1H,28.0
Arrêts_282_1H,0.0
Fautes_282_1H,0.0
Passes_282_1H,3.0
Tirs_282_1H,0.0
Activité_282_2H,44.0
Arrêts_282_2H,0.0
Fautes_282_2H,1.0
Passes_282_2H,4.0
Tirs_282_2H,0.0
Activité_287_1H,30.0
Arrêts_287_1H,0.0
Fautes_287_1H,0.0
Passes_287_1H,3.0
Tirs_287_1H,0.0
Activité_287_2H,25.0
Arrêts_287_2H,0.0
Fautes_287_2H,0.0
Passes_287_2H,1.0
Tirs_287_2H,0.0
Activité_378_1H,20.0
Arrêts_378_1H,0.0
Fautes_378_1H,1.0
Passes_378_1H,0.0
Tirs_378_1H,0.0
Activité_378_2H,19.0
Arrêts_378_2H,0.0
Fautes_378_2H,1.0
Passes_378_2H,0.0
Tirs_378_2H,0.0
Activité_359_1H,31.0
Arrêts_359_1H,0.0
Fautes_359_1H,0.0
Passes_359_1H,0.0
Tirs_359_1H,0.0
Activité_359_2H,45.0
Arrêts_359_2H,0.0
Fautes_359_2H,0.0
Passes_359_2H,0.0
Tirs_359_2H,0.0
Activité_1739_1H,16.0
Arrêts_1739_1H,0.0
Fautes_1739_1H,0.0
Passes_1739_1H,0.0
Tirs_1739_1H,0.0
Activité_1739_2H,23.0
Arrêts_1739_2H,0.0
Fautes_1739_2H,0.0
Passes_1739_2H,0.0
Tirs_1739_2H,0.0
Activité_2065_1H,35.0
Arrêts_2065_1H,0.0
Fautes_2065_1H,1.0
Passes_2065_1H,0.0
Tirs_2065_1H,0.0
Activité_2065_2H,28.0
Arrêts_2065_2H,0.0
Fautes_2065_2H,0.0
Passes_2065_2H,0.0
Tirs_2065_2H,0.0
Activité_150_1H,14.0
Arrêts_150_1H,0.0
Fautes_150_1H,0.0
Passes_150_1H,0.0
Tirs_150_1H,0.0
Activité_150_2H,11.0
Arrêts_150_2H,1.0
Fautes_150_2H,0.0
Passes_150_2H,0.0
Tirs_150_2H,0.0
Activité_1673_1H,18.0
Arrêts_1673_1H,0.0
Fautes_1673_1H,0.0
Passes_1673_1H,0.0
Tirs_1673_1H,0.0
Activité_1673_2H,37.0
Arrêts_1673_2H,0.0
Fautes_1673_2H,0.0
Passes_1673_2H,0.0
Tirs_1673_2H,0.0
Activité_304_1H,0.0
Arrêts_304_1H,0.0
Fautes_304_1H,0.0
Passes_304_1H,0.0
Tirs_304_1H,0.0
Activité_304_2H,12.0
Arrêts_304_2H,0.0
Fautes_304_2H,0.0
Passes_304_2H,0.0
Tirs_304_2H,0.0
Activité_3217_1H,0.0
Arrêts_3217_1H,0.0
Fautes_3217_1H,0.0
Passes_3217_1H,0.0
Tirs_3217_1H,0.0
Activité_3217_2H,29.0
Arrêts_3217_2H,0.0
Fautes_3217_2H,0.0
Passes_3217_2H,0.0
Tirs_3217_2H,0.0
Activité_2215_1H,0.0
Arrêts_2215_1H,0.0
Fautes_2215_1H,0.0
Passes_2215_1H,0.0
Tirs_2215_1H,0.0
Activité_2215_2H,20.0
Arrêts_2215_2H,0.0
Fautes_2215_2H,1.0
Passes_2215_2H,0.0
Tirs_2215_2H,0.0
Activité_3235_1H,0.0
Arrêts_3235_1H,0.0
Fautes_3235_1H,0.0
Passes_3235_1H,0.0
Tirs_3235_1H,0.0
Activité_3235_2H,5.0
Arrêts_3235_2H,0.0
Fautes_3235_2H,0.0
Passes_3235_2H,0.0
Tirs_3235_2H,0.0
Activité_575_1H,0.0
Arrêts_575_1H,0.0
Fautes_575_1H,0.0
Passes_575_1H,0.0
Tirs_575_1H,0.0
Activité_575_2H,4.0
Arrêts_575_2H,0.0
Fautes_575_2H,0.0
Passes_575_2H,0.0
Tirs_575_2H,0.0
