,1228,1229
Équipe_id,59.0,6.0
Match_id,985.0,985.0
(Tirs_Équipe_2H),1.0,0.0
(Tirs_Équipe_1H),2.0,0.0
(Tirs_Milieux_2H),0.0,0.0
(Tirs_Milieux_1H),1.0,0.0
(Tirs_Défenseurs_2H),0.0,0.0
(Tirs_Défenseurs_1H),0.0,0.0
(Tirs_Attaquants_2H),1.0,0.0
(Tirs_Attaquants_1H),1.0,0.0
(Passes_Équipe_2H),1.0,5.0
(Passes_Équipe_1H),2.0,6.0
(Fautes_Équipe_2H),4.0,0.0
(Fautes_Équipe_1H),2.0,2.0
(Fautes_Milieux_2H),2.0,0.0
(Fautes_Milieux_1H),0.0,1.0
(Fautes_Gardiens_2H),0.0,0.0
(Fautes_Gardiens_1H),0.0,0.0
(Fautes_Défenseurs_2H),0.0,0.0
(Fautes_Défenseurs_1H),0.0,1.0
(Fautes_Attaquants_2H),2.0,0.0
(Fautes_Attaquants_1H),2.0,0.0
(Arrêts_Gardiens_2H),0.0,1.0
(Arrêts_Gardiens_1H),0.0,0.0
(Activité_Équipe_2H),245.0,347.0
(Activité_Équipe_1H),262.0,274.0
(Activité_Milieux_2H),105.0,130.0
(Activité_Milieux_1H),128.0,66.0
(Activité_Défenseurs_2H),115.0,161.0
(Activité_Défenseurs_1H),106.0,131.0
(Activité_Attaquants_2H),25.0,56.0
(Activité_Attaquants_1H),28.0,77.0
