,2674,2675,2676,2677,2678,2679
Date,2018-05-20 18:45:00,2018-05-20 18:45:00,2018-05-20 18:45:00,2018-05-20 18:45:00,2018-05-20 18:45:00,2018-05-20 18:45:00
Club,Barcelona,Real Sociedad,Sassuolo,Roma,Lazio,Internazionale
Club_ADV,Real Sociedad,Barcelona,Roma,Sassuolo,Internazionale,Lazio
Période_jour,4.0,4.0,4.0,4.0,4.0,4.0
Arbitre_id,383,383,338,338,356,356
Match_id,760,760,1,1,0,0
Dom_Ext,1.0,0.0,1.0,0.0,1.0,0.0
CLB_Série_vic,26.0,14.0,11.0,22.0,21.0,19.0
CLB_Tot_buts_pour,81,58,21,55,77,57
CLB_Tot_buts_contre,17,50,50,23,36,22
CLB_Tot_buts_diff,64,8,-29,32,41,35
CLB_Série_vic_5,4.0,3.0,4.0,4.0,5.0,3.0
CLB_Tot_buts_pour_5,18,9,6,10,17,13
CLB_Tot_buts_contre_5,10,6,5,4,6,6
CLB_Tot_buts_diff_5,8,3,1,6,11,7
CLB_Série_vic_3,2.0,2.0,2.0,3.0,3.0,1.0
CLB_Tot_buts_pour_3,13,6,4,8,9,7
CLB_Tot_buts_contre_3,8,4,5,1,3,5
CLB_Tot_buts_diff_3,5,2,-1,7,6,2
CLB_Série_vic_1,0.0,1.0,1.0,1.0,1.0,0.0
CLB_Tot_buts_pour_1,4,3,2,1,1,1
CLB_Tot_buts_contre_1,5,2,1,0,0,2
CLB_Tot_buts_diff_1,-1,1,1,1,1,-1
CLB_Nb_jours,7.0,8.0,8.0,14.0,21.0,8.0
ADV_Série_vic,14.0,26.0,22.0,11.0,19.0,21.0
ADV_Tot_buts_pour,58,81,55,21,57,77
ADV_Tot_buts_contre,50,17,23,50,22,36
ADV_Tot_buts_diff,8,64,32,-29,35,41
ADV_Série_vic_5,3.0,4.0,4.0,4.0,3.0,5.0
ADV_Tot_buts_pour_5,9,18,10,6,13,17
ADV_Tot_buts_contre_5,6,10,4,5,6,6
ADV_Tot_buts_diff_5,3,8,6,1,7,11
ADV_Série_vic_3,2.0,2.0,3.0,2.0,1.0,3.0
ADV_Tot_buts_pour_3,6,13,8,4,7,9
ADV_Tot_buts_contre_3,4,8,1,5,5,3
ADV_Tot_buts_diff_3,2,5,7,-1,2,6
ADV_Série_vic_1,1.0,0.0,1.0,1.0,0.0,1.0
ADV_Tot_buts_pour_1,3,4,1,2,1,1
ADV_Tot_buts_contre_1,2,5,0,1,2,0
ADV_Tot_buts_diff_1,1,-1,1,1,-1,1
ADV_Nb_jours,8.0,7.0,14.0,8.0,8.0,21.0
[Résultat],1.0,0.0,0.0,1.0,0.0,1.0
[CLB_Buts],1,0,0,1,2,3
[ADV_Buts],0,1,1,0,3,2
